Date,Date,Price,Signal,Returns
2023-03-24 00:00:00+00:00,2023-03-24 00:00:00+00:00,27493.28515625,0.0,-0.0
2023-03-25 00:00:00+00:00,2023-03-25 00:00:00+00:00,27494.70703125,0.0,0.0
2023-03-26 00:00:00+00:00,2023-03-26 00:00:00+00:00,27994.330078125,0.0,0.0
2023-03-27 00:00:00+00:00,2023-03-27 00:00:00+00:00,27139.888671875,0.0,-0.0
2023-03-28 00:00:00+00:00,2023-03-28 00:00:00+00:00,27268.130859375,0.0,0.0
2023-03-29 00:00:00+00:00,2023-03-29 00:00:00+00:00,28348.44140625,0.0,0.0
2023-03-30 00:00:00+00:00,2023-03-30 00:00:00+00:00,28033.5625,0.0,-0.0
2023-03-31 00:00:00+00:00,2023-03-31 00:00:00+00:00,28478.484375,0.0,0.0
2023-04-01 00:00:00+00:00,2023-04-01 00:00:00+00:00,28411.03515625,0.0,-0.0
2023-04-02 00:00:00+00:00,2023-04-02 00:00:00+00:00,28199.30859375,0.0,-0.0
2023-04-03 00:00:00+00:00,2023-04-03 00:00:00+00:00,27790.220703125,0.0,-0.0
2023-04-04 00:00:00+00:00,2023-04-04 00:00:00+00:00,28168.08984375,0.0,0.0
2023-04-05 00:00:00+00:00,2023-04-05 00:00:00+00:00,28177.984375,0.0,0.0
2023-04-06 00:00:00+00:00,2023-04-06 00:00:00+00:00,28044.140625,0.0,-0.0
2023-04-07 00:00:00+00:00,2023-04-07 00:00:00+00:00,27925.859375,0.0,-0.0
2023-04-08 00:00:00+00:00,2023-04-08 00:00:00+00:00,27947.794921875,0.0,0.0
2023-04-09 00:00:00+00:00,2023-04-09 00:00:00+00:00,28333.05078125,0.0,0.0
2023-04-10 00:00:00+00:00,2023-04-10 00:00:00+00:00,29652.98046875,0.0,0.0
2023-04-11 00:00:00+00:00,2023-04-11 00:00:00+00:00,30235.05859375,0.0,0.0
2023-04-12 00:00:00+00:00,2023-04-12 00:00:00+00:00,30139.052734375,0.0,-0.0
2023-04-13 00:00:00+00:00,2023-04-13 00:00:00+00:00,30399.06640625,0.0,0.0
2023-04-14 00:00:00+00:00,2023-04-14 00:00:00+00:00,30485.69921875,0.0,0.0
2023-04-15 00:00:00+00:00,2023-04-15 00:00:00+00:00,30318.49609375,0.0,-0.0
2023-04-16 00:00:00+00:00,2023-04-16 00:00:00+00:00,30315.35546875,0.0,-0.0
2023-04-17 00:00:00+00:00,2023-04-17 00:00:00+00:00,29445.044921875,0.0,-0.0
2023-04-18 00:00:00+00:00,2023-04-18 00:00:00+00:00,30397.552734375,0.0,0.0
2023-04-19 00:00:00+00:00,2023-04-19 00:00:00+00:00,28822.6796875,0.0,-0.0
2023-04-20 00:00:00+00:00,2023-04-20 00:00:00+00:00,28245.98828125,0.0,-0.0
2023-04-21 00:00:00+00:00,2023-04-21 00:00:00+00:00,27276.91015625,0.0,-0.0
2023-04-22 00:00:00+00:00,2023-04-22 00:00:00+00:00,27817.5,0.0,0.0
2023-04-23 00:00:00+00:00,2023-04-23 00:00:00+00:00,27591.384765625,0.0,-0.0
2023-04-24 00:00:00+00:00,2023-04-24 00:00:00+00:00,27525.33984375,0.0,-0.0
2023-04-25 00:00:00+00:00,2023-04-25 00:00:00+00:00,28307.59765625,0.0,0.0
2023-04-26 00:00:00+00:00,2023-04-26 00:00:00+00:00,28422.701171875,0.0,0.0
